time	amplitude
0.0	-0.0
1.0	-0.5024937604036588
2.0	-0.504975083125416
3.0	-0.5074440301984686
4.0	-0.5099006633466223
5.0	-0.5123450439858337
6.0	-0.5147772332257459
7.0	-0.5171972918712168
8.0	-0.5196052804238385
9.0	-0.52200125908345
10.0	-0.524385287749643
11.0	-0.526757426023258
12.0	-0.5291177332078756
13.0	-0.5314662683112983
14.0	-0.5338030900470259
15.0	-0.5361282568357235
16.0	-0.5384418268066822
17.0	-0.5407438577992714
18.0	-0.5430344073643859
19.0	-0.5453135327658842
20.0	-0.5475812909820201
21.0	-0.5498377387068671
22.0	-0.5520829323517359
23.0	-0.5543169280465843
24.0	-0.5565397816414213
25.0	-0.5587515487077023
26.0	-0.5609522845397193
27.0	-0.5631420441559828
28.0	-0.5653208823005971
29.0	-0.5674888534446294
30.0	-0.5696460117874711
31.0	-0.5717924112581932
32.0	-0.5739281055168943
33.0	-0.576053147956042
34.0	-0.5781675917018081
35.0	-0.5802714896153963
36.0	-0.582364894294364
37.0	-0.5844478580739372
38.0	-0.5865204330283189
39.0	-0.5885826709719908
40.0	-0.5906346234610091
41.0	-0.5926763417942927
42.0	-0.5947078770149065
43.0	-0.5967292799113366
44.0	-0.5987406010187608
45.0	-0.6007418906203115
46.0	-0.602733198748333
47.0	-0.6047145751856322
48.0	-0.6066860694667233
49.0	-0.6086477308790659
50.0	-0.6105996084642975
51.0	-0.6125417510194595
52.0	-0.6144742070982168
53.0	-0.6163970250120722
54.0	-0.6183102528315734
55.0	-0.6202139383875158
56.0	-0.6221081292721373
57.0	-0.6239928728403087
58.0	-0.6258682162107174
59.0	-0.6277342062670452
60.0	-0.6295908896591411
61.0	-0.631438312804186
62.0	-0.6332765218878553
63.0	-0.6351055628654716
64.0	-0.6369254814631545
65.0	-0.6387363231789639
66.0	-0.640538133284037
67.0	-0.6423309568237201
68.0	-0.6441148386186951
69.0	-0.6458898232661
70.0	-0.6476559551406433
71.0	-0.6494132783957138
72.0	-0.6511618369644845
73.0	-0.6529016745610106
74.0	-0.6546328346813226
75.0	-0.6563553606045138
76.0	-0.6580692953938221
77.0	-0.6597746818977062
78.0	-0.6614715627509176
79.0	-0.6631599803755661
80.0	-0.6648399769821803
81.0	-0.6665115945707627
82.0	-0.6681748749318404
83.0	-0.6698298596475085
84.0	-0.6714765900924715
85.0	-0.6731151074350763
86.0	-0.6747454526383416
87.0	-0.6763676664609827
88.0	-0.6779817894584292
89.0	-0.6795878619838406
90.0	-0.6811859241891134
91.0	-0.6827760160258859
92.0	-0.684358177246537
93.0	-0.6859324474051796
94.0	-0.6874988658586496
95.0	-0.68905747176749
96.0	-0.6906083040969295
97.0	-0.6921514016178574
98.0	-0.6936868029077919
99.0	-0.6952145463518453
100.0	-0.6967346701436833
101.0	-0.6982472122864798
102.0	-0.699752210593867
103.0	-0.7012497026908813
104.0	-0.7027397260149029
105.0	-0.7042223178165925
106.0	-0.7056975151608225
107.0	-0.7071653549276031
108.0	-0.7086258738130051
109.0	-0.7100791083300768
110.0	-0.7115250948097567
111.0	-0.7129638694017819
112.0	-0.7143954680755926
113.0	-0.7158199266212297
114.0	-0.7172372806502314
115.0	-0.7186475655965221
116.0	-0.720050816717299
117.0	-0.721447069093913
118.0	-0.7228363576327465
119.0	-0.7242187170660851
120.0	-0.7255941819529867
121.0	-0.7269627866801454
122.0	-0.7283245654627502
123.0	-0.7296795523453417
124.0	-0.7310277812026628
125.0	-0.7323692857405049
126.0	-0.7337040994965514
127.0	-0.7350322558412157
128.0	-0.7363537879784756
129.0	-0.7376687289467035
130.0	-0.738977111619492
131.0	-0.7402789687064759
132.0	-0.7415743327541504
133.0	-0.742863236146684
134.0	-0.7441457111067288
135.0	-0.7454217896962254
136.0	-0.7466915038172052
137.0	-0.7479548852125872
138.0	-0.7492119654669722
139.0	-0.750462776007432
140.0	-0.7517073481042953
141.0	-0.7529457128719291
142.0	-0.7541779012695174
143.0	-0.7554039441018342
144.0	-0.7566238720200141
145.0	-0.7578377155223188
146.0	-0.7590455049548988
147.0	-0.7602472705125529
148.0	-0.7614430422394828
149.0	-0.7626328500300438
150.0	-0.7638167236294926
151.0	-0.764994692634731
152.0	-0.7661667864950453
153.0	-0.7673330345128433
154.0	-0.7684934658443859
155.0	-0.7696481095005171
156.0	-0.7707969943473882
157.0	-0.7719401491071803
158.0	-0.7730776023588221
159.0	-0.7742093825387039
160.0	-0.7753355179413892
161.0	-0.7764560367203217
162.0	-0.7775709668885293
163.0	-0.7786803363193244
164.0	-0.7797841727470003
165.0	-0.7808825037675253
166.0	-0.7819753568392322
167.0	-0.7830627592835046
168.0	-0.7841447382854602
169.0	-0.7852213208946304
170.0	-0.7862925340256366
171.0	-0.7873584044588628
172.0	-0.7884189588411256
173.0	-0.7894742236863395
174.0	-0.7905242253761805
175.0	-0.7915689901607458
176.0	-0.7926085441592092
177.0	-0.7936429133604752
178.0	-0.7946721236238272
179.0	-0.7956962006795758
180.0	-0.7967151701297004
181.0	-0.7977290574484905
182.0	-0.798737887983182
183.0	-0.7997416869545906
184.0	-0.8007404794577428
185.0	-0.8017342904625036
186.0	-0.8027231448141994
187.0	-0.8037070672342408
188.0	-0.8046860823207395
189.0	-0.8056602145491234
190.0	-0.8066294882727494
191.0	-0.8075939277235107
192.0	-0.808553557012444
193.0	-0.8095084001303314
194.0	-0.8104584809483006
195.0	-0.8114038232184215
196.0	-0.8123444505743003
197.0	-0.8132803865316696
198.0	-0.8142116544889771
199.0	-0.8151382777279705
200.0	-0.0
200.0	0.0
201.0	0.5024937604036588
202.0	0.504975083125416
203.0	0.5074440301984686
204.0	0.5099006633466223
205.0	0.5123450439858337
206.0	0.5147772332257459
207.0	0.5171972918712168
208.0	0.5196052804238385
209.0	0.52200125908345
210.0	0.524385287749643
211.0	0.526757426023258
212.0	0.5291177332078756
213.0	0.5314662683112983
214.0	0.5338030900470259
